K,C,Y,X,R,S,T
32,3,32,32,3,3,1
32,32,32,32,3,3,1
64,32,32,32,1,1,1
64,64,16,16,3,3,2
128,64,16,16,1,1,1
128,128,16,16,3,3,1
128,128,16,16,1,1,1
128,128,8,8,3,3,2
256,128,8,8,1,1,1
256,256,8,8,3,3,1
256,256,8,8,1,1,1
256,256,4,4,3,3,2
512,256,4,4,1,1,1
512,512,4,4,3,3,1
512,512,4,4,1,1,1
512,512,4,4,3,3,1
512,512,4,4,1,1,1
512,512,4,4,3,3,1
512,512,4,4,1,1,1
512,512,4,4,3,3,1
512,512,4,4,1,1,1
512,512,4,4,3,3,1
512,512,4,4,1,1,1
512,512,2,2,3,3,2
1024,512,2,2,1,1,1
1024,1024,2,2,3,3,1
1024,1024,2,2,1,1,1
