K,C,Y,X,R,S,T
32,3,32,32,3,3,1
32,32,32,32,1,1,1
32,32,32,32,3,3,1
16,32,32,32,1,1,1
16,32,32,32,1,1,1
96,16,32,32,1,1,1
96,96,32,32,3,3,1
24,96,32,32,1,1,1
24,16,32,32,1,1,1
144,24,32,32,1,1,1
144,144,32,32,3,3,1
24,144,32,32,1,1,1
144,24,32,32,1,1,1
144,144,16,16,3,3,2
32,144,16,16,1,1,1
192,32,16,16,1,1,1
192,192,16,16,3,3,1
32,192,16,16,1,1,1
192,32,16,16,1,1,1
192,192,16,16,3,3,1
32,192,16,16,1,1,1
192,32,16,16,1,1,1
192,192,8,8,3,3,2
64,192,8,8,1,1,1
384,64,8,8,1,1,1
384,384,8,8,3,3,1
64,384,8,8,1,1,1
384,64,8,8,1,1,1
384,384,8,8,3,3,1
64,384,8,8,1,1,1
384,64,8,8,1,1,1
384,384,8,8,3,3,1
64,384,8,8,1,1,1
384,64,8,8,1,1,1
384,384,8,8,3,3,1
96,384,8,8,1,1,1
96,64,8,8,1,1,1
576,96,8,8,1,1,1
576,576,8,8,3,3,1
96,576,8,8,1,1,1
576,96,8,8,1,1,1
576,576,8,8,3,3,1
96,576,8,8,1,1,1
576,96,8,8,1,1,1
576,576,4,4,3,3,2
160,576,4,4,1,1,1
960,160,4,4,1,1,1
960,960,4,4,3,3,1
160,960,4,4,1,1,1
960,160,4,4,1,1,1
960,960,4,4,3,3,1
160,960,4,4,1,1,1
960,160,4,4,1,1,1
960,960,4,4,3,3,1
320,960,4,4,1,1,1
320,160,4,4,1,1,1
1280,320,4,4,1,1,1
