K,C,Y,X,R,S,T
64,3,32,32,3,3,1
64,64,32,32,1,1,1
64,64,32,32,3,3,1
256,64,32,32,1,1,1
256,64,32,32,1,1,1
64,256,32,32,1,1,1
64,64,32,32,3,3,1
256,64,32,32,1,1,1
64,256,32,32,1,1,1
64,64,32,32,3,3,1
256,64,32,32,1,1,1
128,256,32,32,1,1,1
128,128,16,16,3,3,2
512,128,16,16,1,1,1
512,256,16,16,1,1,2
128,512,16,16,1,1,1
128,128,16,16,3,3,1
512,128,16,16,1,1,1
128,512,16,16,1,1,1
128,128,16,16,3,3,1
512,128,16,16,1,1,1
128,512,16,16,1,1,1
128,128,16,16,3,3,1
512,128,16,16,1,1,1
256,512,16,16,1,1,1
256,256,8,8,3,3,2
1024,256,8,8,1,1,1
1024,512,8,8,1,1,2
256,1024,8,8,1,1,1
256,256,8,8,3,3,1
1024,256,8,8,1,1,1
256,1024,8,8,1,1,1
256,256,8,8,3,3,1
1024,256,8,8,1,1,1
256,1024,8,8,1,1,1
256,256,8,8,3,3,1
1024,256,8,8,1,1,1
256,1024,8,8,1,1,1
256,256,8,8,3,3,1
1024,256,8,8,1,1,1
256,1024,8,8,1,1,1
256,256,8,8,3,3,1
1024,256,8,8,1,1,1
512,1024,8,8,1,1,1
512,512,4,4,3,3,2
2048,512,4,4,1,1,1
2048,1024,4,4,1,1,2
512,2048,4,4,1,1,1
512,512,4,4,3,3,1
2048,512,4,4,1,1,1
512,2048,4,4,1,1,1
512,512,4,4,3,3,1
2048,512,4,4,1,1,1
